start
vertice: 17095: pai:2 nivel:1
vertice: 17569: pai:2 nivel:1
vertice: 12009: pai:2 nivel:1
vertice: 17586: pai:2 nivel:1
vertice: 1823: pai:2 nivel:1
vertice: 17597: pai:2 nivel:1
vertice: 17590: pai:2 nivel:1
vertice: 7176: pai:2 nivel:1
vertice: 7182: pai:2 nivel:1
vertice: 17604: pai:2 nivel:1
vertice: 17602: pai:2 nivel:1
vertice: 17612: pai:2 nivel:1
vertice: 17614: pai:2 nivel:1
vertice: 17619: pai:2 nivel:1
vertice: 17610: pai:2 nivel:1
vertice: 17624: pai:2 nivel:1
vertice: 17628: pai:2 nivel:1
vertice: 17637: pai:2 nivel:1
vertice: 2063: pai:2 nivel:1
vertice: 7180: pai:2 nivel:1
vertice: 3654: pai:2 nivel:1
vertice: 331: pai:2 nivel:1
vertice: 7360: pai:2 nivel:1
